cluster,player,playerId,season,fg,3pm,ft,reb,ast,stl,blk,tov,pts,age
16,Glen Rice,ricegl01,1992,0.47,1.96,0.84,4.99,2.33,1.14,0.44,1.84,22.34,24
16,Nick Anderson,anderni01,1993,0.45,1.11,0.74,6.04,3.35,1.62,0.71,2.08,19.92,25
16,Danny Manning,mannida01,1993,0.51,0.10,0.80,6.58,2.62,1.37,1.28,2.91,22.78,26
16,Clyde Drexler*,drexlcl01,1994,0.43,1.04,0.78,6.54,4.90,1.44,0.50,2.46,19.16,31
16,Ron Harper,harpero01,1994,0.43,0.95,0.72,6.13,4.59,1.92,0.72,3.23,20.11,30
16,Danny Manning,mannida01,1994,0.49,0.04,0.67,6.84,3.84,1.46,1.21,3.43,20.63,27
16,Scottie Pippen*,pippesc01,1994,0.49,0.88,0.66,8.74,5.60,2.93,0.81,3.22,22.04,28
16,Clifford Robinson,robincl02,1994,0.46,0.16,0.77,6.71,1.94,1.44,1.35,2.06,20.09,27
16,Cedric Ceballos,cebalce01,1995,0.51,1.00,0.72,8.00,1.81,1.03,0.33,2.47,21.74,25
16,Clyde Drexler*,drexlcl01,1995,0.46,1.93,0.82,6.32,4.76,1.79,0.59,2.45,21.75,32
16,Grant Hill,hillgr01,1995,0.48,0.06,0.73,6.36,5.04,1.77,0.89,2.89,19.91,22
16,Larry Johnson,johnsla02,1995,0.48,1.00,0.77,7.22,4.56,0.96,0.35,2.56,18.83,25
16,Scottie Pippen*,pippesc01,1995,0.48,1.38,0.72,8.09,5.18,2.94,1.13,3.43,21.42,29
16,Clifford Robinson,robincl02,1995,0.45,1.89,0.69,5.64,2.64,1.05,1.09,2.11,21.35,28
16,Glenn Robinson,robingl01,1995,0.45,1.08,0.80,6.41,2.46,1.44,0.28,3.91,21.94,22
16,Cedric Ceballos,cebalce01,1996,0.53,0.65,0.80,6.87,1.53,1.21,0.28,2.14,21.23,26
16,Clyde Drexler*,drexlcl01,1996,0.43,1.50,0.78,7.17,5.81,2.02,0.46,2.58,19.33,33
16,Juwan Howard,howarju01,1996,0.49,0.05,0.75,8.15,4.44,0.83,0.48,3.74,22.09,22
16,Larry Johnson,johnsla02,1996,0.48,0.83,0.76,8.43,4.38,0.68,0.53,2.25,20.49,26
16,Clifford Robinson,robincl02,1996,0.42,2.28,0.66,5.68,2.44,1.10,0.87,2.49,21.08,29
16,Glenn Robinson,robingl01,1996,0.45,1.10,0.81,6.15,3.57,1.16,0.51,3.44,20.24,23
16,LaPhonso Ellis,ellisla01,1997,0.44,1.73,0.77,7.02,2.38,0.80,0.75,2.13,21.87,26
16,Kendall Gill,gillke01,1997,0.44,0.90,0.80,6.09,3.98,1.88,0.56,2.66,21.82,28
16,Tom Gugliotta,guglito01,1997,0.44,0.30,0.82,8.67,4.14,1.60,1.10,3.62,20.64,27
16,Juwan Howard,howarju01,1997,0.49,0.00,0.76,7.95,3.79,1.13,0.28,3.00,19.15,23
16,Glenn Robinson,robingl01,1997,0.47,0.79,0.79,6.28,3.10,1.29,0.85,3.36,21.11,24
16,Shareef Abdur-Rahim,abdursh01,1998,0.49,0.26,0.78,7.09,2.60,1.09,0.93,3.13,22.30,21
16,Michael Finley,finlemi01,1998,0.45,1.06,0.78,5.34,4.94,1.61,0.37,2.67,21.50,24
16,Tom Gugliotta,guglito01,1998,0.50,0.05,0.82,8.68,4.07,1.49,0.54,2.66,20.07,28
